flight_date,departure.iata,departure.terminal,departure.gate,departure.scheduled,arrival.iata,arrival.terminal,arrival.scheduled,airline.iata,terminal_distance_m,terminal_walk_time_min,terminal_transport_method,connection_time_min,arrival_delay_min,scheduled_flight_min,departure_hour,day_of_week,risk_label,transport_friction,is_cross_airport,is_intl_hub,is_major_airport,is_peak_hour,terminal_change,has_delay_info,security_crowd,immigration_crowd,walking_time_min,security_time_min,immigration_time_min,congestion_time_min,baggage_time_min
1,29,19,436,257,30,0,345,195,1100,5,16,80.0,11.0,200.0,6,0,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
0,31,6,436,24,195,0,23,26,800,8,36,113.0,7.0,75.0,11,6,2,1,1,0,0,0,1,1,2,2,8,20.0,0.0,8,10
0,42,5,436,117,148,7,126,60,800,5,33,89.0,39.0,110.0,20,6,0,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,45,1,28,301,56,2,396,144,1000,5,29,96.0,23.0,175.0,10,0,0,2,1,1,1,1,0,1,0,0,5,30.0,45.0,15,10
1,14,1,379,275,229,18,410,70,5500,18,19,117.0,19.0,360.0,8,0,1,3,1,1,1,1,1,1,0,0,18,30.0,45.0,15,10
0,44,5,369,133,368,2,148,189,600,7,3,97.0,23.0,113.0,20,6,1,1,1,0,0,1,1,1,0,0,7,30.0,0.0,15,10
1,49,24,172,283,161,0,344,165,300,4,33,72.0,28.0,50.0,9,0,0,1,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10
0,44,0,222,151,128,14,298,144,700,5,2,108.0,14.0,524.0,21,6,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,10,0,26,304,259,0,398,194,4500,18,19,71.0,15.0,170.0,11,0,0,3,1,0,0,0,0,1,2,2,18,20.0,0.0,8,10
1,39,5,401,351,305,2,446,214,1000,5,19,85.0,17.0,120.0,15,0,1,3,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
0,48,0,353,123,289,2,345,112,1200,5,7,118.0,15.0,830.0,20,6,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,8,2,330,284,431,19,353,51,2800,10,8,106.0,24.0,85.0,9,0,0,3,1,1,1,1,1,1,0,0,10,30.0,45.0,15,10
1,49,24,0,285,136,0,350,56,300,4,33,73.0,31.0,65.0,9,0,0,1,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10
1,13,24,176,272,16,9,374,200,700,5,6,112.0,13.0,225.0,8,0,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,10,0,116,321,196,0,409,26,2000,10,19,87.0,11.0,120.0,12,0,1,3,1,0,0,0,0,1,2,2,10,20.0,0.0,8,10
1,41,0,1,335,455,6,423,59,2500,10,20,79.0,29.0,110.0,13,0,0,3,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10
1,14,24,436,259,211,18,350,14,5500,18,19,110.0,20.0,210.0,7,0,0,3,1,1,1,1,1,1,0,0,18,30.0,45.0,15,10
1,13,24,285,236,93,14,364,121,800,5,6,83.0,36.0,530.0,2,0,0,2,1,0,0,0,1,1,1,1,5,16.0,0.0,3,10
0,2,11,436,67,366,2,65,166,1000,6,11,65.0,19.0,55.0,16,6,0,3,1,0,0,0,1,1,2,2,6,20.0,0.0,8,10
1,4,24,436,320,425,2,448,26,1200,5,6,123.0,15.0,290.0,12,0,2,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
1,0,24,200,289,304,27,361,24,600,8,33,101.0,9.0,90.0,9,0,1,1,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10
1,18,0,436,344,164,2,424,193,700,5,6,127.0,29.0,65.0,14,0,1,2,1,1,0,0,1,1,2,2,5,20.0,30.0,8,10
0,44,1,296,149,336,12,273,131,400,5,33,90.0,14.0,484.0,21,6,2,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,37,1,431,344,425,2,448,144,600,8,33,117.0,20.0,165.0,14,0,1,1,1,1,0,0,0,1,2,2,8,20.0,30.0,8,10
1,45,0,436,333,66,2,455,5,600,8,37,117.0,18.0,260.0,13,0,1,1,1,1,1,0,1,1,2,2,8,20.0,30.0,8,10
0,12,12,213,201,4,27,178,30,900,5,28,100.0,30.0,49.0,22,6,1,3,1,0,0,0,1,1,1,2,5,16.0,0.0,3,10
1,32,0,436,295,423,27,353,73,5000,12,22,82.0,18.0,30.0,10,0,1,3,1,0,0,1,1,1,0,0,12,30.0,0.0,15,10
0,44,5,352,152,424,2,286,189,500,6,3,85.0,17.0,502.0,21,6,1,1,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10
0,12,15,347,196,434,27,180,30,900,5,28,85.0,26.0,56.0,22,6,1,3,1,0,0,0,1,1,1,1,5,16.0,0.0,3,10
1,23,24,436,264,19,9,344,125,1000,8,12,110.0,33.0,160.0,7,0,0,1,1,1,0,1,1,1,0,0,8,30.0,45.0,15,10
1,6,0,436,290,259,0,373,194,4200,16,19,87.0,6.0,130.0,9,0,1,3,1,0,0,1,0,1,0,0,16,30.0,0.0,15,10
0,35,24,436,83,98,27,96,102,1200,8,33,73.0,27.0,137.0,17,6,0,1,1,0,0,1,1,1,0,0,8,30.0,0.0,15,10
1,17,1,46,220,268,2,239,71,600,5,33,79.0,24.0,180.0,0,0,1,1,1,0,0,0,0,1,1,1,5,16.0,0.0,3,10
0,43,24,136,164,129,27,205,107,1000,6,6,85.0,41.0,175.0,21,6,0,2,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10
1,41,0,1,335,455,6,423,107,2500,10,20,75.0,18.0,110.0,13,0,0,3,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10
1,10,0,95,291,401,2,364,26,4500,18,19,93.0,36.0,95.0,9,0,0,3,1,0,0,1,1,1,0,0,18,30.0,0.0,15,10
1,19,0,124,371,435,2,465,33,700,10,33,118.0,5.0,105.0,16,0,2,1,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10
